PathwayID,Library Source,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19,Gene_20,Gene_21,Gene_22,Gene_23,Gene_24,Gene_25,Gene_26,Gene_27,Gene_28,Gene_29,Gene_30,Gene_31,Gene_32,Gene_33,Gene_34,Gene_35,Gene_36,Gene_37,Gene_38,Gene_39,Gene_40,Gene_41,Gene_42,Gene_43,Gene_44,Gene_45,Gene_46,Gene_47,Gene_48,Gene_49,Gene_50,Gene_51,Gene_52,Gene_53,Gene_54,Gene_55,Gene_56,Gene_57,Gene_58,Gene_59,Gene_60,Gene_61,Gene_62,Gene_63,Gene_64,Gene_65,Gene_66,Gene_67,Gene_68,Gene_69,Gene_70,Gene_71,Gene_72,Gene_73,Gene_74,Gene_75,Gene_76,Gene_77,Gene_78,Gene_79,Gene_80,Gene_81,Gene_82,Gene_83,Gene_84,Gene_85,Gene_86,Gene_87,Gene_88,Gene_89,Gene_90,Gene_91,Gene_92,Gene_93,Gene_94,Gene_95,Gene_96,Gene_97,Gene_98,Gene_99,Gene_100,Gene_101,Gene_102,Gene_103,Gene_104,Gene_105,Gene_106,Gene_107,Gene_108,Gene_109,Gene_110,Gene_111,Gene_112,Gene_113,Gene_114,Gene_115,Gene_116,Gene_117,Gene_118,Gene_119,Gene_120,Gene_121,Gene_122,Gene_123,Gene_124,Gene_125,Gene_126,Gene_127,Gene_128,Gene_129,Gene_130,Gene_131,Gene_132,Gene_133,Gene_134,Gene_135,Gene_136,Gene_137,Gene_138,Gene_139,Gene_140,Gene_141,Gene_142,Gene_143,Gene_144,Gene_145,Gene_146,Gene_147,Gene_148,Gene_149,Gene_150,Gene_151,Gene_152,Gene_153,Gene_154,Gene_155,Gene_156,Gene_157,Gene_158,Gene_159,Gene_160,Gene_161,Gene_162,Gene_163,Gene_164,Gene_165,Gene_166,Gene_167,Gene_168,Gene_169,Gene_170,Gene_171,Gene_172,Gene_173,Gene_174,Gene_175,Gene_176,Gene_177,Gene_178,Gene_179,Gene_180,Gene_181,Gene_182,Gene_183,Gene_184,Gene_185,Gene_186,Gene_187,Gene_188,Gene_189,Gene_190,Gene_191,Gene_192,Gene_193,Gene_194,Gene_195,Gene_196,Gene_197,Gene_198,Gene_199,Gene_200
HALLMARK_HYPOXIA,h.all.v2023.2.Hs.symbols,P4HA1,HMOX1,GCNT2,CHST3,IRS2,CAVIN3,NCAN,PIM1,S100A4,TPBG,PPP1R3C,XPNPEP1,FOSL2,DCN,SRPX,SELENBP1,NDRG1,MAFF,RRAGD,GPC4,LOX,PFKFB3,DDIT3,PKP1,PGM1,GYS1,PFKL,SLC2A1,GALK1,PLAC8,GPI,IGFBP1,SULT2B1,PDK3,B3GALT6,PLIN2,DTNA,BNIP3L,FOXO3,TGFBI,MT2A,KDELR3,MT1E,ENO1,SIAH2,PFKP,FOS,HEXA,SDC3,TKTL1,MIF,SAP30,KLHL24,TES,BTG1,AMPD3,KDM3A,STC1,ACKR3,JMJD6,EFNA1,MXI1,TPD52,UGP2,WSB1,LDHA,ERRFI1,PRKCA,BCAN,PAM,ZFP36,FBP1,GBE1,HK2,PGAM2,PHKG1,EXT1,RBPJ,LXN,MYH9,COL5A1,SDC2,HK1,ZNF292,F3,HDLBP,NDST1,BGN,CITED2,CAVIN1,SLC2A3,TMEM45A,NAGK,BCL2,ALDOB,GAPDH,PGM2,CDKN1A,KLF6,PDK1,CDKN1C,PKLR,CCN1,DUSP1,PNRC1,LARGE1,TPST2,SDC4,ATF3,GLRX,SERPINE1,CP,PRDX5,PYGM,ANKZF1,ILVBL,PCK1,PPFIA4,AKAP12,GAPDHS,CCN5,LDHC,ERO1A,GRHPR,SLC2A5,EFNA3,VEGFA,IGFBP3,ANXA2,IDS,CCNG2,NR3C1,CHST2,PPP1R15A,LALBA,HS3ST1,GCK,MAP3K1,INHA,DPYSL4,TIPARP,VLDLR,PLAUR,CAV1,NEDD4L,HAS1,TPI1,CA12,PGF,FAM162A,KIF5A,ISG20,TGFB3,ALDOC,ADORA2B,JUN,NDST2,GPC1,PPARGC1A,PDGFB,ETS1,SCARB1,KLF7,DDIT4,NOCT,SLC37A4,BRS3,EGFR,ATP7A,ANGPTL4,ALDOA,IL6,SLC6A6,HOXB9,CDKN1B,ENO3,STC2,TNFAIP3,ENO2,CSRP2,PGK1,CCN2,HSPA5,ADM,B4GALNT2,EDN2,GPC3,RORA,STBD1,CASP6,AK4,BHLHE40,SLC25A1,NFIL3,VHL,P4HA2,TGM2,GAA,CXCR4,IER3
HALLMARK_BILE_ACID_METABOLISM,h.all.v2023.2.Hs.symbols,PEX6,ABCA4,CROT,MLYCD,ALDH1A1,ALDH9A1,NEDD4,HSD3B7,LONP2,PEX12,PIPOX,SCP2,IDI1,OPTN,SLC23A2,DIO2,AQP9,SLC35B2,HSD3B1,RXRA,ABCA9,PECR,DHCR24,TFCP2L1,SOD1,FDXR,SULT2B1,AGXT,PFKM,ABCA2,PAOX,DIO1,IDH1,PXMP2,ABCA1,PEX26,BCAR3,RXRG,PEX11G,PNPLA8,FADS1,PEX16,CYP8B1,ISOC1,ATXN1,GCLM,CYP7B1,CYP7A1,ABCA5,ABCA6,KLF1,SLC27A2,HSD17B6,TTR,SULT1B1,SLCO1A2,CH25H,PEX7,HSD17B4,SLC22A18,GC,GSTK1,LIPE,SLC29A1,CAT,ACSL1,PRDX5,HAO1,NR0B2,NR1H4,SLC27A5,NR1I2,PEX11A,ABCD3,EPHX2,SERPINA6,ABCD1,CYP39A1,PEX1,BBOX1,PEX19,SOAT2,BMP6,ACSL5,NUDT12,HACL1,PHYH,AKR1D1,GNPAT,EFHC1,ABCG8,APOA1,NPC1,RBP1,PEX13,ALDH8A1,CYP46A1,CYP27A1,GNMT,IDH2,ABCD2,ABCA3,LCK,ABCA8,ABCG4,AR,HSD17B11,FADS2,RETSAT,AMACR,NR3C2,SLC23A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLMARK_XENOBIOTIC_METABOLISM,h.all.v2023.2.Hs.symbols,GSTO1,ACP1,HMOX1,MCCC2,CROT,GCNT2,PROS1,RBP4,CNDP2,MBL2,ALDH9A1,ARPP19,ARG2,CDA,BCAT1,BPHL,ENTPD5,IGF1,MARCHF6,PTGDS,GABARAPL1,SLC22A1,AHCY,VNN1,TGFB2,CYP17A1,ATP2A2,HGFAC,AQP9,ANGPTL3,GAD1,CYP2S1,BLVRB,HNF4A,ELOVL5,ADH7,CSAD,DHPS,CYP1A1,FETUB,TAT,NINJ1,IGFBP1,TDO2,IDH1,DDAH2,KARS1,SLC1A5,LPIN2,AP4B1,ITIH1,PDK4,JUP,CD36,ALDH3A1,ALDH2,PGD,MT2A,PAPSS2,ATOH8,NFS1,HES6,CFB,XDH,LCAT,ALAS1,AKR1C3,REG1A,TKFC,FMO3,FMO1,TPST1,FBP1,ACOX1,DDT,IL1R1,ACSM1,ACOX3,HSD17B2,SLC35B1,PSMB10,ENPEP,ADH1C,MTHFD1,POR,SMOX,PINK1,SLC46A3,FAH,ACO2,TMBIM6,F10,CYP2J2,PYCR1,GSR,PTGES,LEAP2,SLC35D1,GCH1,CAT,ETS2,HRG,MAOA,MPP2,NDRG2,CYP1A2,CRP,IRF8,SERPINE1,SERTAD1,TMEM176B,SLC6A12,PC,SLC12A4,HPRT1,AKR1C2,EPHX1,MAN1A1,FBLN1,UPB1,ACOX2,SERPINA6,ECH1,CYB5A,ABCC2,TYR,COMT,CYFIP2,IGFBP4,AOX1,ETFDH,PDLIM5,PGRMC1,SHMT2,UGDH,DDC,FAS,CYP26A1,RAP1GAP,UPP1,VTN,ADH5,HACL1,PEMT,CYP4F2,ESR1,HSD11B1,DHRS7,CYP2E1,NQO1,NPC1,APOE,NMT1,GCLC,CA2,CBR1,CYP27A1,GNMT,GSTM4,PTGR1,ASL,SPINT2,PLG,SLC6A6,CDO1,ABHD6,ABCD2,ITIH4,LONP1,PTS,KYNU,ARG1,CCL25,DCXR,F11,GSS,PTGES3,TTPA,GSTA3,ACP2,G6PC1,SSR3,GSTT2,BCAR1,CASP6,PMM1,RETSAT,ID2,FABP1,TNFRSF1A,SAR1B,GART,GCKR,CYP2C18,EPHA2,TMEM97,CES1,DHRS1,PPARD,ABCC3
HALLMARK_KRAS_SIGNALING_UP,h.all.v2023.2.Hs.symbols,RBP4,CROT,ATG10,ADGRL4,GPNMB,EPHB2,PRRX1,ADAMDEC1,HOXD11,G0S2,LAT2,ZNF277,CDADC1,WDR33,TRIB2,ALDH1A2,TFPI,F13A1,PLEK2,BIRC3,DOCK2,MTMR10,RETN,SNAP25,USH1C,CSF2,IL1RL2,PPBP,FLT4,FUCA1,CCSER2,SOX9,ZNF639,LIF,NAP1L2,JUP,GFPT2,EREG,BPGM,AKT2,HDAC9,WNT7A,TSPAN13,CLEC4A,IL33,AVL9,NIN,FBXO4,GADD45G,PRDM1,RABGAP1L,TSPAN7,PIGR,ANKH,CD37,CFB,NRP1,CCND2,PSMB8,SCG3,SEMA3B,F2RL1,TMEM100,CAB39L,KLF4,SPP1,CTSS,EVI5,PTGS2,RGS16,PDCD1LG2,MMP9,IKZF1,ST6GAL1,ANO1,MPZL2,LAPTM5,TSPAN1,HKDC1,MYCN,GUCY1A1,EPB41L3,TLR8,ETV1,GALNT3,GNG11,TOR1AIP2,MAP4K1,PTPRR,ALDH1A3,GYPC,SATB1,VWA5A,PTBP2,PRKG2,KIF5C,ITGA2,GABRA3,DNMBP,MMP10,PECAM1,SPON1,PTCD2,GLRX,SPARCL1,ENG,IRF8,TMEM176B,SDCCAG8,MMD,IL10RA,INHBA,NR0B2,ADGRA2,AKAP12,NR1H4,YRDC,TNNT2,H2BC3,TPH1,EMP1,FCER1G,SLPI,ITGB2,ERO1A,IGFBP3,MALL,CSF2RA,LCP1,PEG3,ACE,FGF9,PPP1R15A,CBL,SPRY2,IGF2,LY96,PCSK1N,MAP3K1,MMP11,DUSP6,PCP4,ADAM17,TNFRSF1B,TRAF1,APOD,PLAUR,BTC,CFH,C3AR1,NGF,ITGBL1,CBX8,BMP2,HSD11B1,IL1B,ETV4,CIDEA,PLAU,ETS1,CPE,AMMECR1,TMEM176A,CA2,IL2RG,SERPINA3,RBM4,ANGPTL4,SCG5,GPRC5B,MAFB,CBR4,TNFAIP3,ETV5,USP12,STRN,MAP7,ARG1,PLAT,HBEGF,PRELID3B,CMKLR1,RELN,BTBD3,ANXA10,TMEM158,IL7R,ID2,KCNN4,CFHR2,DCBLD2,CXCL10,SNAP91,ADAM8,CCL20,SCN1B,TRIB1,CXCR4,PLVAP,ABCB1
HALLMARK_ADIPOGENESIS,h.all.v2023.2.Hs.symbols,HSPB8,DECR1,UBQLN1,UQCRQ,LPL,RIOK3,PTCD3,MRPL15,ME1,BAZ2A,SCP2,SORBS1,TOB1,ATL2,CHUK,RTN3,LAMA4,SDHC,DRAM2,GPX3,PFKFB3,ELOVL6,ACADS,RETN,DBT,PGM1,DGAT1,G3BP2,ATP5PO,PFKL,QDPR,GHITM,SOD1,ARL4A,UBC,COX7B,SLC25A10,IDH1,NDUFAB1,IFNGR1,COQ9,PLIN2,SLC1A5,ABCA1,DLAT,ACADM,ADIPOQ,DHRS7B,CD36,CRAT,PIM3,ALDH2,STAT5A,NABP1,PREB,PPARG,COL15A1,APLP2,ATP1B3,FZD4,ENPP2,RMDN3,BCL2L13,ITGA7,PPM1B,MAP4K3,SAMM50,HADH,LIFR,RAB34,GBE1,UQCRC1,ACOX1,ADCY6,BCKDHA,CD302,DDT,CMBL,COL4A1,COX8A,CYC1,IMMT,ITIH5,CAVIN2,TANK,ITSN1,CDKN2C,LTC4S,POR,GPHN,ORM1,SNCG,DHCR7,CAVIN1,ACLY,UCP2,OMD,UQCR10,FAH,SLC66A3,ACO2,TALDO1,JAGN1,GPAM,SQOR,TST,DLD,LIPE,SPARCL1,CAT,SULT1A1,YWHAG,UQCR11,MTARC2,COQ5,UCK1,MGST3,NDUFB7,MRAP,EPHX2,SLC19A1,RNF11,SUCLG1,BCL6,ECH1,GPX4,NKIRAS1,CCNG2,MGLL,CD151,LEP,ABCB8,C3,DNAJC15,GPAT4,SLC27A1,MDH2,CPT2,CYP4B1,ECHS1,COX6A1,DNAJB9,ELMOD3,PHLDB1,VEGFB,ADIPOR2,PHYH,STOM,PDCD4,MCCC1,PEMT,GADD45A,ANGPT1,ESYT1,MYLK,MTCH2,DHRS7,AGPAT3,CIDEA,HIBCH,CMPK1,APOE,GRPEL1,SCARB1,NMT1,ACAA2,ALDOA,ANGPTL4,PEX14,SDHB,AK2,PTGER3,SOWAHC,GPD2,CS,FABP4,ADIG,AIFM1,REEP5,ARAF,SSPN,COQ3,CHCHD10,REEP6,PPP1R15B,NDUFS3,SLC5A6,RETSAT,ESRRA,ACADL,SLC25A1,TKT,IDH3G,ETFB,PRDX3,MIGA2,RREB1,LPCAT3,NDUFA5,IDH3A
HALLMARK_UV_RESPONSE_UP,h.all.v2023.2.Hs.symbols,ACAA1,HMOX1,GLS,AP2S1,TARS1,SLC25A4,APOM,LYN,PPT1,PSMC3,BID,AQP3,SQSTM1,TACR3,EIF2S3,NPTXR,STARD3,FGF18,FURIN,ONECUT1,JUNB,GPX3,TYRO3,BTG3,CHRNA5,RFC4,DGAT1,FOSB,RASGRP1,CYP1A1,SHOX2,PDAP1,RRAD,CEBPG,ATP6V1C1,DDX21,RAB27A,SELENOW,PRKACA,WIZ,CDC34,CYB5R1,PLCL1,POLR2H,KCNH2,STIP1,PDLIM3,FEN1,ICAM1,PPAT,CCK,FOS,BCL2L11,IL6ST,SPR,GGH,BTG1,ALAS1,CCND3,SOD2,STK25,POLG2,EIF5,PTPRD,FMO1,RPN1,TCHH,CDC5L,BAK1,PRKCD,TGFBRAP1,CYB5B,EPCAM,PPIF,SLC6A8,PPP1R2,RXRB,UROD,KLHDC3,NXF1,CTSV,PARP2,NTRK3,CDKN1C,DNAJA1,RET,CNP,TST,LHX2,CREG1,OLFM1,ATF3,GCH1,H2AX,ARRB2,MAOA,CDK2,NAT1,SULT1A1,TMBIM6,E2F5,NPTX2,SLC6A12,AMD1,CHKA,EPHX1,DLG4,HSPA13,C4BPB,AGO2,CCNE1,IGFBP2,MARK2,CASP3,PRPF3,NR4A1,MAPK8IP2,RHOB,GAL,ABCB1,POLE3,IRF1,HSPA2,HLA-F,HYAL2,BMP2,TAP1,NUP58,COL2A1,CXCL2,HNRNPU,MMP14,BTG2,CDKN2B,GRPEL1,MSX1,SIGMAR1,CA2,MRPL23,ALDOA,IL6,CDO1,NKX2-5,ENO2,MGAT1,ASNS,YKT6,FKBP4,BSG,CLTB,HTR7,CLCN2,TUBA4A,NFKBIA,ATP6V1F,TFRC,GRINA,DNAJB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLMARK_APOPTOSIS,h.all.v2023.2.Hs.symbols,CDC25B,HMOX1,AVPR1A,EBP,PTK2,WEE1,RHOT2,TIMP1,CTH,PRF1,VDAC2,GPX1,CASP2,PPT1,DNM1L,DCN,BID,MCL1,DAP3,SQSTM1,TGFB2,RNASEL,BMF,GPX3,BIRC3,BTG3,DDIT3,GUCY2D,MMP2,IGFBP6,SC5D,BIK,CFLAR,CASP1,F2R,PEA15,SOD1,FDXR,MGMT,LEF1,RELA,FEZ1,CD2,IFNGR1,TNF,EGR3,EREG,BNIP3L,NEFH,CCND1,IL1A,PLPPR4,ANKH,CLU,CREBBP,BCL2L11,CASP8,CCND2,PPP3R1,SOD2,CASP9,PMAIP1,CD14,PDGFRB,TNFSF10,CASP7,PSEN2,F2,FASLG,IGF2R,BCL2L2,TNFRSF12A,APP,BGN,IFITM3,SPTAN1,MADD,SLC20A1,CCNA1,SAT1,SATB1,CDKN1A,KRT18,PPP2R5B,DNAJA1,RARA,LUM,GSR,BCL10,IER3,ATF3,GCH1,CDK2,DIABLO,TOP2A,IL18,HSPB1,ERBB3,EMP1,ETF1,GSTM1,LMNA,GPX4,PAK1,ROCK1,IFNB1,GNA15,CASP3,BCAP31,ERBB2,BCL2L1,RHOB,FAS,CAV1,AIFM3,PDCD4,IRF1,HMGB2,GSN,GADD45A,BMP2,ISG20,TAP1,IL1B,JUN,CASP4,PSEN1,BTG2,BCL2L10,DAP,DFFA,SMAD7,TXNIP,NEDD9,ANXA1,CD44,IL6,BRCA1,HGF,CDKN1B,CYLD,XIAP,TSPO,ENO2,DNAJC3,GADD45B,TGFBR3,PLAT,CTNNB1,ADD1,TIMP2,H1-0,TIMP3,CD69,CASP6,RETSAT,LGALS3,DPYD,CD38,BAX,PLCB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLMARK_APICAL_JUNCTION,h.all.v2023.2.Hs.symbols,SKAP2,NEXN,SYMPK,PTK2,COL16A1,ACTN3,MVD,NRTN,CLDN7,ARPC2,TSC1,MYL9,NEGR1,ZYX,PIK3CB,THBS3,KRT31,LIMA1,ALOX15B,CD209,MMP2,NLGN3,PCDH1,CLDN5,ACTA1,RHOF,GNAI2,VWF,CAP1,CLDN11,CDH6,PARD6G,SHC1,VCAN,VCL,DLG1,EVL,CLDN4,COL9A1,WNK4,JUP,MADCAM1,CRAT,ITGA9,LAYN,CDH11,CDH1,CX3CL1,AKT2,MYL12B,NFASC,TGFBI,CLDN19,CTNND1,ACTB,CDH8,KCNH2,PPP2R2C,ICAM1,TJP1,RASA1,CLDN15,SDC3,DSC3,EXOC4,INPPL1,MDK,PIK3R3,CD274,TSPAN4,GRB7,MSN,CALB2,ACTG2,DSC1,PARVA,ITGB1,CADM2,HADH,RRAS,SRC,PBX2,AMH,MYH9,GAMT,HRAS,MMP9,GNAI1,B4GALT1,CDH3,ACTG1,VCAM1,LAMB3,NECTIN1,PTPRC,MPZL2,NECTIN2,TNFRSF11B,YWHAH,MYH10,TUBG1,ACTN4,CRB3,ACTN1,CDK8,NF2,THY1,CLDN9,SGCE,IKBKG,ITGA2,NECTIN3,RAC2,LAMA3,SPEG,TAOK2,CD86,PECAM1,SHROOM2,AMIGO2,ADAM15,CADM3,CDH4,ICAM5,PALS1,ITGA10,ITGB4,GTF2F1,IRS1,AKT3,MAPK11,ARHGEF6,COL17A1,FLNC,NRAP,CD99,CDSN,ICAM2,ITGA3,NHERF4,TMEM8B,WASL,LAMC2,ADAM23,MPZL1,CDH15,ADAMTS5,PKD1,SYK,FYB1,SLC30A3,VAV2,DMP1,MAP4K2,BMP1,RSU1,CLDN18,CLDN8,INSIG1,ADAM9,SORBS3,JAM3,MAP3K20,NECTIN4,ACTC1,NLGN2,MAPK14,AMIGO1,ADRA1B,SLIT2,CNTN1,FSCN1,MAPK13,EGFR,PTEN,CD34,STX4,CD276,PFN1,CERCAM,ICAM4,NF1,EPB41L2,CTNNA1,ATP1A3,TRO,CLDN6,SIRPA,BAIAP2,PLCG1,DHX16,CLDN14,TIAL1,FBN1,ACTN2,NRXN2,CNN2,VASP,LDLRAP1,TRAF1
HALLMARK_FATTY_ACID_METABOLISM,h.all.v2023.2.Hs.symbols,ACAA1,D2HGDH,PTPRG,CBR3,DECR1,AADAT,MCEE,MLYCD,ALDH1A1,ALDH9A1,BPHL,G0S2,ME1,GABARAPL1,SUCLA2,IDI1,RDH16,ACADVL,VNN1,PDHB,SDHC,HMGCL,HMGCS1,ACADS,FASN,KMT5A,ELOVL5,ADH7,ACSM3,DHCR24,CA6,CYP1A1,TDO2,PRDX6,IDH1,BMPR1B,NSDHL,HADHB,OSTC,ACSS1,BCKDHB,ACADM,HPGD,CD36,CRAT,ALDH3A1,ADSL,ECI2,FH,RAP1GDS1,GLUL,MIF,NBN,SERINC1,LGALS1,HSP90AA1,CYP4A11,LDHA,FMO1,HADH,ERP29,ACOT8,ACOX1,ALAD,S100A10,PCBD1,AQP7,ODC1,ACOT2,HAO2,GCDH,YWHAH,ADH1C,LTC4S,HCCS,HSD17B7,FABP2,INMT,UROD,HSD17B4,HMGCS2,HSD17B10,ACO2,CEL,PSME1,SMS,HSPH1,DLD,ACSL1,MAOA,IL4I1,GAD2,GSTZ1,CPOX,GAPDHS,CPT1A,EPHX1,ALDH3A2,SUCLG1,GRHPR,SDHA,BLVRA,PDHA1,ACSL4,CRYZ,ECH1,HSDL2,CYP4A22,NCAPH2,MGLL,DLST,EHHADH,ACAT2,ETFDH,UGDH,MDH2,CPT2,ECI1,ECHS1,SLC22A5,ACSL5,ADIPOR2,PPARA,SUCLG2,H2AZ1,CIDEA,MIX23,HIBCH,RDH11,CA2,CBR1,ACAA2,ALDOA,NTHL1,ENO3,GPD2,ENO2,PTS,AUH,AOC3,APEX1,CA4,HSD17B11,SDHD,UBE2L6,IDH3B,REEP6,CD1D,GPD1,MDH1,RETSAT,FABP1,TP53INP2,XIST,ACADL,IDH3G,UROS,METAP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLMARK_MYOGENESIS,h.all.v2023.2.Hs.symbols,HDAC5,NAV2,HSPB8,MYL1,MYO1C,ACTN3,SH2B1,CNN3,MYH8,IGF1,PPP1R3C,TAGLN,SORBS1,IGFBP7,RB1,GPX3,SGCA,BIN1,PLXNB2,TNNI1,COL3A1,ACTA1,TCAP,ACHE,MYH2,CAMK2B,COL6A2,PFKM,PRNP,SPDEF,CHRNA1,DMPK,CRYAB,DTNA,CASQ1,DAPK2,CD36,CRAT,MYL4,AKT2,KLF5,ITGB5,MYH3,TNNT1,ATP2A1,FKBP1B,KCNH2,COL15A1,CLU,TEAD4,MEF2C,MRAS,TPM2,AGRN,ITGA7,MEF2D,TNNC2,MYL7,EIF4A2,COX6A2,ITGB1,ABLIM1,ATP6AP1,IFRD1,LSP1,PVALB,SOD3,PSEN2,PTGIS,MYOZ1,CKM,FGF2,PGAM2,MYH9,DES,MYF6,CKB,FHL1,MYH1,SGCD,RYR1,VIPR1,APP,BDKRB2,SPTAN1,SGCG,SLC6A8,CHRNB1,KCNH1,LDB3,CDKN1A,MAPK12,SCHIP1,CSRP3,BAG1,CTF1,GJA5,MEF2A,CASQ2,MYL11,AGL,SPEG,MYOM1,LARGE1,ACSL1,NOTCH1,SPHK1,PYGM,PDE4DIP,APLNR,PPFIA4,MYH11,LAMA2,ITGB4,PC,TSC2,MYBPH,TNNT2,AK1,ERBB3,AEBP1,CACNA1H,COL6A3,FOXO4,RIT1,IGFBP3,KIFC3,FDPS,NCAM1,MYBPC3,TNNC1,FLII,GNAO1,TNNI2,SMTN,TPD52L1,MYL2,APOD,FST,LPIN1,NOS1,CKMT2,SVIL,MAPRE3,TNNT3,PICK1,OCEL1,SPARC,SORBS3,PTP4A3,DMD,TGFB1,ACTC1,ADAM12,MB,GSN,SCD,SH3BGR,MYLK,ANKRD2,NQO1,CDH13,COX7A1,COL4A2,ADCY9,ENO3,HRC,STC2,REEP1,GADD45B,MYH7,TPM3,HBEGF,MYOM2,MYOG,SSPN,CAV3,GABARAPL2,CHRNG,HSPB2,CFD,EPHB3,FXYD1,SIRT2,SLN,PDLIM7,MYH4,BHLHE40,CACNG1,MYL6B,MYL3,SYNGR2,ACTN2,FABP3,COL1A1,DENND2B,EFS,WWTR1,GAA,PKIA
