PathwayID,Library Source,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19,Gene_20,Gene_21,Gene_22,Gene_23,Gene_24,Gene_25,Gene_26,Gene_27,Gene_28,Gene_29,Gene_30,Gene_31,Gene_32,Gene_33,Gene_34,Gene_35,Gene_36,Gene_37,Gene_38,Gene_39,Gene_40,Gene_41,Gene_42,Gene_43,Gene_44,Gene_45,Gene_46,Gene_47,Gene_48,Gene_49,Gene_50,Gene_51,Gene_52,Gene_53,Gene_54,Gene_55,Gene_56,Gene_57,Gene_58,Gene_59,Gene_60,Gene_61,Gene_62,Gene_63,Gene_64,Gene_65,Gene_66,Gene_67,Gene_68,Gene_69,Gene_70,Gene_71,Gene_72,Gene_73,Gene_74,Gene_75,Gene_76,Gene_77,Gene_78,Gene_79,Gene_80,Gene_81,Gene_82,Gene_83,Gene_84,Gene_85,Gene_86,Gene_87,Gene_88,Gene_89,Gene_90,Gene_91,Gene_92,Gene_93,Gene_94,Gene_95,Gene_96,Gene_97,Gene_98,Gene_99,Gene_100,Gene_101,Gene_102,Gene_103,Gene_104,Gene_105,Gene_106,Gene_107,Gene_108,Gene_109,Gene_110,Gene_111,Gene_112,Gene_113,Gene_114,Gene_115,Gene_116,Gene_117,Gene_118,Gene_119,Gene_120,Gene_121,Gene_122,Gene_123,Gene_124,Gene_125,Gene_126,Gene_127,Gene_128,Gene_129,Gene_130,Gene_131,Gene_132,Gene_133,Gene_134,Gene_135,Gene_136,Gene_137,Gene_138,Gene_139,Gene_140,Gene_141,Gene_142,Gene_143,Gene_144,Gene_145,Gene_146,Gene_147,Gene_148,Gene_149,Gene_150,Gene_151,Gene_152,Gene_153,Gene_154,Gene_155,Gene_156,Gene_157,Gene_158,Gene_159,Gene_160,Gene_161,Gene_162,Gene_163,Gene_164,Gene_165,Gene_166,Gene_167,Gene_168,Gene_169,Gene_170,Gene_171,Gene_172,Gene_173,Gene_174,Gene_175,Gene_176,Gene_177,Gene_178,Gene_179,Gene_180,Gene_181,Gene_182,Gene_183,Gene_184,Gene_185,Gene_186,Gene_187,Gene_188,Gene_189,Gene_190,Gene_191,Gene_192,Gene_193,Gene_194,Gene_195,Gene_196,Gene_197,Gene_198,Gene_199,Gene_200
HALLMARK_GLYCOLYSIS,h.all.v2023.2.Hs.symbols,PLOD1,COPB2,KDELR3,PHKA2,PGAM1,HAX1,GALK2,ISG20,PFKFB1,SPAG4,AURKA,CHST6,STMN1,CENPA,AKR1A1,PYGB,ANKZF1,GYS1,PGM2,TPBG,ARPP19,NT5E,ERO1A,GMPPA,MXI1,HS2ST1,QSOX1,PPIA,CLDN3,GFUS,PAXIP1,B3GAT3,TFF3,EFNA3,ENO1,B4GALT1,LHX9,DCN,MET,TGFA,ENO2,DSC2,STC2,UGP2,MIOX,SDC1,GFPT1,ME1,SDC2,G6PD,FKBP4,ARTN,ANGPTL4,GALK1,KIF20A,CAPN5,ME2,CXCR4,ALDH9A1,RARS1,GALE,GPC3,MDH1,EGFR,GNE,SDC3,GAL3ST1,CD44,IER3,AK3,LDHA,COL5A1,EXT2,IL13RA1,CHPF2,LHPP,PGK1,CHST2,LCT,CTH,POLR3K,TPI1,BIK,GPC1,CASP6,PKM,CHPF,TKTL1,PLOD2,CYB5A,PC,HSPA5,CLDN9,NSDHL,VCAN,ALDH7A1,GMPPB,SRD5A3,PGAM2,ALDOB,ALG1,GYS2,ANG,HDLBP,CLN6,GNPDA1,B3GALT6,TALDO1,GAPDHS,NDUFV3,PFKP,EXT1,GPR87,PPFIA4,B3GNT3,SLC37A4,PYGL,XYLT2,COG2,IGFBP3,SOD1,SOX9,VEGFA,AGL,GCLC,HK2,GOT1,PGLS,B3GAT1,MED24,DEPDC1,HS6ST2,MDH2,SLC35A3,FBP2,TXN,GUSB,LDHC,MERTK,AGRN,DDIT4,CHST4,TPST1,MIF,KIF2A,SLC25A10,PDK3,PKP2,P4HA1,MPI,FUT8,GOT2,ZNF292,SDHC,DPYSL4,HMMR,CHST12,CITED2,GPC4,ABCB6,DLD,NOL3,PRPS1,GLCE,VLDLR,EGLN3,P4HA2,B4GALT7,NDST3,RRAGD,CDK1,SAP30,NASP,IRS2,TGFBI,B4GALT2,RBCK1,FAM162A,ECD,ELF3,STC1,SLC16A3,RPE,PSMC4,PPP2CB,AK4,ADORA2B,ALDOA,IDH1,B4GALT4,PAM,GLRX,NANP,IDUA,SLC25A13,BPNT1,CHST1,PMM2,HOMER1,CACNA1H
HALLMARK_G2M_CHECKPOINT,h.all.v2023.2.Hs.symbols,MAP3K20,PRC1,TFDP1,PTTG1,HUS1,TACC3,FBXO5,MCM6,RAD23B,STMN1,AURKA,SLC12A2,TOP1,CDC7,CENPA,E2F3,BCL3,EFNA5,KIF22,BARD1,DDX39A,DTYMK,CUL4A,POLE,BRCA2,ODC1,MCM2,CDK4,CCNA2,PLK4,JPT1,RPA2,HOXC10,MEIS1,INCENP,POLQ,CHAF1A,CENPE,BUB1,SS18,PRMT5,E2F2,KIF2C,MKI67,CDKN1B,NUMA1,ATF5,KIF5B,KIF4A,UPF1,DKC1,CUL3,H2AZ2,SRSF2,TENT4A,CDC20,ILF3,GSPT1,MCM3,TRAIP,SRSF10,RASAL2,CDC25A,CUL1,NUP50,NUSAP1,MNAT1,CENPF,HNRNPD,DMD,HIF1A,KATNA1,RPS6KA5,HMGA1,STIL,MYBL2,PTTG3P,MYC,E2F1,CHMP1A,MTF2,CKS2,HMGN2,LBR,KIF15,TNPO2,MARCKS,UBE2S,H2AX,NUP98,EZH2,CUL5,CCNF,ODF2,NEK2,TMPO,KIF11,TOP2A,EWSR1,MCM5,CCND1,RACGAP1,STAG1,PRIM2,DBF4,RAD21,SUV39H1,UCK2,HIRA,NOTCH2,CCNB2,EGF,PURA,TRA2B,FOXN3,ORC5,SRSF1,TLE3,ORC6,RAD54L,KNL1,CBX1,EXO1,CASP8AP2,G3BP1,KIF20B,CDC6,KPNA2,LIG3,NOLC1,SLC38A1,SQLE,TTK,AURKB,ABL1,CDKN2C,H2AZ1,PBK,SFPQ,PML,SLC7A5,CDC27,MAD2L1,GINS2,CCNT1,LMNB1,PLK1,HMGB3,POLA2,AMD1,HMMR,SLC7A1,SMC2,BUB3,H2BC12,SMC1A,RBL1,CKS1B,NSD2,CDKN3,CHEK1,PAFAH1B1,KMT5A,MEIS2,MAPK14,CDK1,MT2A,SAP30,NASP,ESPL1,HSPA8,HNRNPU,SMARCC1,TROAP,KPNB1,CDC25B,SNRPD1,TPX2,YTHDC1,ARID4A,NDC80,CTCF,CDC45,PRPF4B,SYNCRIP,TGFB1,KIF23,E2F4,BIRC5,DR1,SMAD3,RBM14,SMC4,UBE2C,WRN,PDS5B,ATRX,FANCC,NCL,XPO1
HALLMARK_IL2_STAT5_SIGNALING,h.all.v2023.2.Hs.symbols,TNFRSF18,LRRC8C,NDRG1,ITIH5,PLIN2,BHLHE40,PRKCH,CDKN1C,SYNGR2,MAP3K8,CD83,TNFRSF8,SERPINC1,BMP2,PIM1,CXCL10,MAPKAPK2,PDCD2L,GUCY1B1,PRAF2,AMACR,NT5E,ETFBKMT,ODC1,PNP,SH3BGRL2,TRAF1,XBP1,ENO3,IFITM3,GALM,SCN9A,IFNGR1,MAP6,MYO1C,CISH,TIAM1,AGER,CCND3,HOPX,DHRS3,FURIN,ST3GAL4,PTGER2,RORA,WLS,CYFIP1,PTRH2,ITGA6,P2RX4,RGS16,SPRY4,AHNAK,LIF,SMPDL3A,FGL2,EOMES,ICOS,DRC1,IL10RA,UMPS,CCNE1,IL1R2,SELL,ALCAM,CD79B,PLPP1,CD44,CD86,SLC1A5,IL3RA,GADD45B,SOCS2,GABARAPL1,CCND2,COL6A1,MYC,NRP1,CAPG,ITGAE,LTB,SHE,SLC29A2,F2RL2,CSF1,NFKBIZ,ARL4A,TNFRSF21,BATF,IL2RB,IRF6,NFIL3,RABGAP1L,ITGAV,SLC39A8,FAH,GPR83,SLC2A3,TNFRSF9,TNFRSF1B,GSTO1,LRIG1,AHR,IL10,POU2F1,ECM1,CKAP4,CD81,FLT3LG,UCK2,BCL2,SNX14,PLAGL1,KLF6,NOP2,ENPP1,RNH1,SELP,IL2RA,PRNP,ABCB1,MYO1E,TTC39B,IGF1R,HK2,CDC42SE2,COCH,MUC1,CCR4,CA2,LCLAT1,TNFSF11,HYCC2,CDCP1,BCL2L1,BATF3,CDC6,PUS1,TGM2,BMPR2,CASP3,EEF1AKMT1,IL1RL1,IRF4,SNX9,CST7,P4HA1,GPR65,IKZF2,RHOB,HUWE1,PLSCR1,MAFF,IKZF4,DENND5A,IGF2R,GPX4,PTCH1,SOCS1,CTLA4,S100A1,SPP1,IL4R,TNFRSF4,IL13,ANXA4,NCOA3,RRAGD,GLIPR2,PLEC,IL18R1,TNFSF10,APLP1,CAPN3,ETV4,PHTF2,IRF8,SERPINB6,CSF2,PTH1R,GATA1,PHLDA1,SPRED2,AHCY,MXD1,PENK,NCS1,CD48,EMP1,TWSG1,SWAP70,HIPK2,SYT11,DCPS,GBP4,ADAM19,TLR7,RHOH,CTSZ,
HALLMARK_COMPLEMENT,h.all.v2023.2.Hs.symbols,DYRK2,GNGT2,KLK1,MMP15,CTSL,CDA,IRF7,LCK,PLA2G7,SERPINC1,PIM1,LIPA,F10,ERAP2,LYN,PRCP,C3,PHEX,PIK3CG,SERPINE1,FDX1,CDK5R1,IL6,PSMB9,APOBEC3F,ITIH1,FYN,F8,CTSB,S100A9,VCPIP1,LTA4H,GNAI3,GZMK,PIK3CA,GP9,CD55,ME1,PRSS36,PDGFB,TIMP2,TIMP1,MT3,EHD1,WAS,C1QA,FCN1,L3MBTL4,CD36,USP15,CBLB,CASP9,GZMA,PDP1,DPP4,BRPF3,CTSH,CASP5,C2,CD46,SERPINB2,CPM,FN1,ADAM9,DUSP5,LTF,CASP7,COL4A2,CPQ,ANXA5,CTSS,GCA,GZMB,IRF1,LAP3,LCP2,PCSK9,SIRT6,USP14,KCNIP3,SERPING1,NOTCH4,MMP13,USP8,CFB,MMP8,HNF4A,CDH13,HSPA5,MSRB1,XPNPEP1,CALM1,ZEB1,ANG,GATA3,LRP1,APOA4,PRDM4,GP1BA,SPOCK2,LGALS3,MMP12,GNB4,CTSD,PREP,RASGRP1,LGMN,ATOX1,SERPINA1,HPCAL4,CCL5,DOCK4,CD40LG,LAMP2,RABIF,CP,AKAP10,F2,C1QC,DUSP6,GNG2,TMPRSS6,STX4,PRKCD,CA2,PLEK,KCNIP2,PCLO,CASP4,GPD2,OLR1,CASP3,KIF2A,JAK2,USP16,S100A12,CR2,SCG3,TFPI2,ZFPM2,S100A13,MMP14,CALM3,CSRP1,MAFF,PLSCR1,F7,APOBEC3G,PLAT,PLG,PRSS3,C1R,F5,PPP4C,KYNU,ITGAM,C1S,TNFAIP3,HSPA1A,RHOG,DOCK10,RNF4,CASP10,RBSN,GMFB,SH2B3,IRF2,SRC,APOC1,CTSV,DGKH,PFN1,CFH,GRB2,F3,CEBPB,GNAI2,GNB2,PSEN1,KLKB1,C4BPB,CLU,CASP1,PPP2CB,DOCK9,RAF1,PLAUR,DGKG,C9,CTSC,CXCL1,FCER1G,RCE1,CR1,CD59,ACTN2,CTSO,PLA2G4A,ADRA2B,PIK3R5
HALLMARK_INFLAMMATORY_RESPONSE,h.all.v2023.2.Hs.symbols,ABCA1,P2RX7,ATP2A2,SLC31A1,INHBA,IL1R1,IRF7,LCK,TLR1,HRH1,KCNJ2,ADM,CXCL10,PROK2,ICAM1,SLC31A2,LAMP3,LYN,EMP3,GABBR1,HAS2,SERPINE1,TPBG,PTGER4,BDKRB1,OSMR,IL6,CCL2,RNF144B,NLRP3,PTAFR,KCNMB2,GPR183,CXCR6,TAPBP,CD69,GNAI3,CCRL2,MEP1A,CD82,MET,GCH1,PTGER2,IFITM1,NMI,NFKB1,TNFAIP6,CD55,P2RX4,RGS16,ADGRE1,PTPRE,ITGA5,CDKN1A,LIF,EREG,TIMP1,NFKBIA,SRI,MARCO,OPRK1,CCL22,TACR1,IL10RA,HPN,IRAK2,RIPK2,GPC3,HBEGF,ICOSLG,RTP4,LTA,NAMPT,FZD5,SELL,PDPN,HIF1A,RGS1,CX3CL1,SELENOS,CHST2,MEFV,LCP2,SPHK1,IRF1,CCR7,NMUR1,IFNAR1,SLC4A4,MYC,IL18RAP,PTGIR,IL15,TLR2,ABI1,IL15RA,CSF1,CMKLR1,CSF3R,GNA15,CD40,PVR,KIF1B,PCDH7,ICAM4,CCL24,IL2RB,SLC7A2,RELA,P2RY2,FPR1,SCN1B,GP1BA,TNFRSF9,TNFRSF1B,IL7R,AHR,C3AR1,IL10,KCNA3,CD70,RASGRP1,TLR3,CCL7,ACVR2A,CCL5,APLNR,KLF6,TACR3,SELE,NPFFR2,CD14,CSF3,AQP9,ATP2B1,C5AR1,IL1B,TNFSF15,SLC28A2,BEST1,IFNGR2,OLR1,SEMA4D,ROS1,EIF2AK2,CXCL6,CYBB,SCARF1,GPR132,DCBLD2,IL18,MSR1,BST2,OSM,MMP14,SLC7A1,SGMS2,EBI3,LY6E,ITGB3,ADRM1,CCL20,SLC11A2,VIP,NOD2,IL4R,ITGB8,RHOG,IL12B,CXCL8,SLC1A2,LPAR1,CALCRL,TNFSF10,EDN1,IL18R1,ATP2C1,NDP,CCL17,F3,PDE4B,BTG2,CXCL11,IL1A,CLEC5A,PSEN1,TNFSF9,SLAMF1,AXL,MXD1,CXCL9,CD48,STAB1,RAF1,ADORA2B,PLAUR,ACVR1B,LDLR,PIK3R5,FFAR2
HALLMARK_PI3K_AKT_MTOR_SIGNALING,h.all.v2023.2.Hs.symbols,NCK1,GSK3B,GNGT1,SLA,LCK,ITPR2,ARHGDIA,ACACA,TBK1,HSP90B1,IRAK4,STAT2,PRKCB,ECSIT,CDK4,PLA2G12A,MKNK2,SFN,SQSTM1,VAV3,ARF1,GNA14,RPS6KA3,TIAM1,CDKN1B,PTPN11,CFL1,RIPK1,CDKN1A,MAPK9,MAP2K6,UBE2N,PRKAR2A,CXCR4,EGFR,IL4,PRKAG1,TRIB3,MAP2K3,SLC2A1,THEM4,TRAF2,ARPC3,FGF6,MAPK10,ADCY2,DUSP3,E2F1,PLCG1,MAPK8,RPS6KA1,DAPP1,PIKFYVE,FGF17,FASLG,PPP2R1B,RALB,AKT1S1,CAB39,FGF22,GRK2,PITX2,RPTOR,RAC1,YWHAB,UBE2D3,ACTR2,AKT1,IL2RG,TNFRSF1A,ATF1,CDK2,MAP3K7,MAPKAP1,HRAS,PDK1,CAB39L,MYD88,EIF4E,AP2M1,PAK4,MAPK1,PPP1CA,DDIT3,TSC2,PLCB1,MKNK1,PIK3R3,NFKBIB,CALR,CDK1,SMAD2,CSNK2B,GRB2,ACTR3,PFN1,CAMK4,PRKAA2,NOD1,RAF1,NGF,CLTC,PIN1,PTEN,RIT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLMARK_MITOTIC_SPINDLE,h.all.v2023.2.Hs.symbols,NCK1,TLK1,MID1IP1,PRC1,WASL,SHROOM1,HOOK3,SEPTIN9,FBXO5,DYNLL2,HDAC6,ARHGDIA,MID1,WASF2,KIF3C,AURKA,PALLD,ARHGEF3,KIF22,SOS1,TUBGCP2,BRCA2,EZR,SASS6,CEP192,PCM1,CKAP5,RAB3GAP1,TUBGCP5,CNTROB,INCENP,WASF1,CLIP1,CENPE,DLG1,NF1,CLIP2,BUB1,TIAM1,TUBGCP6,KIF2C,NIN,CDC42,NUMA1,KIF5B,KIF4A,FARP1,CDC42BPA,FLNA,DST,RHOT2,ARHGEF2,FSCN1,ARHGAP10,CDC42EP4,ARHGAP5,DOCK2,MYH9,MYO9B,RASAL2,SSH2,DYNC1H1,BCL2L11,NUSAP1,CDC42EP2,CENPF,AKAP13,CLASP1,PREX1,KATNA1,RAPGEF5,FGD4,PXN,PPP4R2,SUN2,ALS2,ALMS1,BCR,ARFIP2,TUBD1,CDC42EP1,FLNB,STAU1,ABI1,TRIO,LATS1,RALBP1,ECT2,TAOK2,KIF1B,ARHGAP27,NCK2,KIF15,MARCKS,PCNT,SORBS2,ARHGAP29,ARHGEF11,CYTH2,DLGAP5,KPTN,CEP131,RICTOR,SHROOM2,NEK2,RANBP9,RHOF,BCAR1,KIF11,RFC1,TOP2A,RACGAP1,ARHGAP4,CSNK1D,CNTRL,PIF1,NEDD9,ARAP3,DOCK4,PKD2,NOTCH2,CCDC88A,GEMIN4,CCNB2,UXT,MYO1E,MAP1S,ITSN1,TBCD,VCL,ARFGEF1,SPTAN1,KATNB1,SYNPO,CEP57,ANLN,KIF20B,TTK,ATG4B,CTTN,ABL1,KNTC1,CDC27,PLK1,CAPZB,LMNB1,GSN,TSC1,CEP72,MAPRE1,FGD6,KIF3B,ABR,SMC1A,PCGF5,KIFAP3,NET1,ACTN4,RASA1,PDLIM5,SAC3D1,MAP3K11,SMC3,STK38L,PAFAH1B1,CDK1,LLGL1,ESPL1,APC,EPB41L2,TUBGCP3,CDK5RAP2,YWHAE,TPX2,LRPPRC,CENPJ,NDC80,RABGAP1,ARL8A,KIF23,EPB41,MARK4,BIRC5,ARHGEF7,PLEKHG2,RAPGEF6,SMC4,BIN1,ARF6,CD2AP,CEP250,OPHN1,TUBA4A,RASA2,MYH10,ROCK1,SPTBN1,KLC1,ARHGEF12,
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,h.all.v2023.2.Hs.symbols,PLOD1,MATN3,PMEPA1,TPM1,POSTN,GJA1,GADD45A,INHBA,MYLK,PTHLH,MMP2,COMP,PLOD3,LAMC2,COL5A3,SLC6A8,ABI3BP,ANPEP,PPIB,COL16A1,COL12A1,EMP3,FSTL1,FZD8,IGFBP2,SERPINE1,CAP2,FBN2,CALD1,BGN,NT5E,COPA,IL6,QSOX1,SAT1,CDH11,OXTR,GPX7,SCG2,MEST,CALU,LGALS1,SERPINH1,DCN,SNTB1,FBN1,COL4A1,FBLN5,ENO2,FLNA,COLGALT1,DST,FGF2,IGFBP4,ITGA2,PDGFRB,SDC1,ITGA5,PCOLCE,TIMP1,COL1A2,MMP3,HTRA1,LOX,FAS,TPM2,BDNF,NNMT,FBLN1,CCN1,SDC4,CD44,MCM7,CDH2,MXRA5,COL5A1,WIPF1,FN1,PMP22,CDH6,COL11A1,COL4A2,GADD45B,CCN2,GPC1,LRRC15,CAPG,TIMP3,IL15,SLIT3,ECM2,SGCG,THBS2,PLOD2,PVR,SFRP1,VCAN,PDLIM4,P3H1,ITGB1,MATN2,LRP1,GLIPR1,ITGAV,CRLF1,GREM1,GEM,COL8A2,SPOCK1,MFAP5,SPARC,JUN,WNT5A,COL5A2,ECM1,LAMA3,IGFBP3,BASP1,PTX3,NOTCH2,VEGFA,MYL9,SFRP4,SGCD,BMP1,EFEMP2,TNFRSF11B,COL1A1,LAMC1,VIM,FMOD,PFN2,TGM2,LOXL2,EDIL3,ID2,CXCL6,SLIT2,IL32,SERPINE2,DKK1,RHOB,AREG,TFPI2,COL6A3,MMP14,VEGFC,COL7A1,RGS4,ITGB3,GAS1,DAB2,COL6A2,FUCA1,SPP1,LAMA2,TNC,TNFAIP3,ADAM12,CXCL12,FAP,CXCL8,ITGB5,LOXL1,MAGEE1,MMP1,TGFBR3,LUM,TGFBI,CADM1,APLP1,ELN,TNFRSF12A,FSTL3,FBLN2,SNAI2,TAGLN,PRSS2,TGFB1,FERMT2,THY1,MSX1,NID2,NTM,FOXC2,VCAM1,PRRX1,TPM4,CTHRC1,THBS1,PLAUR,DPYSL3,ACTA2,LAMA1,CXCL1,PCOLCE2,CD59,MGP,SGCB,COL3A1
HALLMARK_INTERFERON_GAMMA_RESPONSE,h.all.v2023.2.Hs.symbols,ZBP1,XAF1,LATS2,XCL1,PSME2,IRF7,FCGR1A,ISG20,PARP14,CSF2RB,PIM1,STAT2,CXCL10,PSMB8,MARCHF1,ICAM1,OAS2,TRIM26,ADAR,STAT3,SOCS3,LGALS3BP,PNP,IFITM3,IL6,CCL2,PSMB9,VAMP5,METTL7B,HLA-G,RNF213,CMPK2,AUTS2,HELZ2,IFIT2,P2RY14,GBP6,TAPBP,BPGM,CD69,PNPT1,MTHFD2,KLRK1,GCH1,TRIM21,NMI,NFKB1,RIPK1,TNFAIP6,PSMB2,CDKN1A,USP18,NFKBIA,PTPN2,SRI,FGL2,FAS,IFNAR2,SP110,IL10RA,RIPK2,RTP4,GZMA,NAMPT,HLA-DQA1,IFI27,PSMA2,CD86,HIF1A,ARID5B,DDX60,DHX58,OASL,CASP8,TRAFD1,RSAD2,CASP7,TRIM14,SECTM1,HLA-A,BATF2,IL18BP,IRF1,LAP3,LCP2,STAT1,IDO1,SERPING1,IL15,IFI35,CFB,TRIM25,UPP1,IL15RA,CMKLR1,PTPN1,CD40,ISG15,ARL4A,B2M,PTPN6,RNF31,IL2RB,HLA-DMA,IFIT3,IFIT1,PELI1,SAMHD1,FPR1,TNFAIP2,CD38,MX1,ST3GAL5,PFKP,PSME1,NUP93,CCL7,SOD2,WARS1,CCL5,CIITA,SELP,ZNFX1,CD74,BANK1,PSMB10,TDRD7,IFITM2,GPR18,ISOC1,SSPN,PARP12,HERC6,TXNIP,CASP4,MVP,MYD88,ITGB7,CASP3,IRF4,JAK2,EIF2AK2,IFI44L,LYSMD2,SLAMF7,PML,STAT4,ST8SIA4,PSMA3,APOL6,UBE2L6,BST2,PLSCR1,IFIH1,IRF9,C1R,CMTR1,LY6E,SOCS1,BTG1,C1S,IL4R,TNFAIP3,RIGI,IL7,NCOA3,MT2A,OGFR,IRF2,TAP1,CD274,TNFSF10,TOR1B,HLA-B,NLRC5,RBCK1,CFH,PDE4B,IRF8,CXCL11,HLA-DRB1,SLC25A28,IFI30,IFI44,IRF5,NOD1,SPPL2A,PTGS2,CASP1,CXCL9,VCAM1,RAPGEF6,VAMP8,OAS3,SAMD9L,EPSTI1,MX2,GBP4,EIF4E3,PLA2G4A
HALLMARK_E2F_TARGETS,h.all.v2023.2.Hs.symbols,SSRP1,PCNA,PTTG1,HUS1,TACC3,POLE4,DCLRE1B,POLD3,HMGB2,MCM6,NUDT21,LYAR,AURKA,STMN1,PAN2,ATAD2,KIF22,LUC7L3,BARD1,DDX39A,POLE,PPP1R8,BRCA2,SPAG5,MCM2,CDK4,LIG1,RPA3,NCAPD2,TK1,PLK4,RAD51AP1,UBE2T,JPT1,RPA2,ANP32E,SNRPB,PAICS,CNOT9,CCP110,PA2G4,EED,CENPE,POLD1,PMS2,RANBP1,KIF2C,MKI67,MTHFD2,CDKN1B,DUT,KIF4A,NAP1L1,GINS3,CIT,CHEK2,SRSF2,ORC2,CDKN1A,BRCA1,CDC20,ILF3,RBBP7,GSPT1,MCM3,NOP56,TIMELESS,CDKN2A,PRDX4,CDC25A,NUP107,CCNE1,HNRNPD,CSE1L,CDCA8,MCM7,NBN,MSH2,DNMT1,RNASEH2A,HMGA1,CDCA3,IPO7,MYBL2,BUB1B,MYC,EIF2S1,GINS1,MLH1,POP7,TFRC,NUP153,BRMS1L,CKS2,EXOSC8,ASF1B,ING3,LBR,USP1,MRE11,TCF19,UBE2S,RAD50,POLD2,H2AX,ASF1A,XRCC6,EZH2,DLGAP5,TBRG4,RPA1,TMPO,RFC1,TOP2A,MCM5,RACGAP1,STAG1,PRIM2,TIPIN,RAD21,DEK,SUV39H1,DIAPH3,RAD51C,MXD3,CCNB2,TRA2B,SRSF1,ORC6,SMC6,CENPM,DCTPP1,DEPDC1,MCM4,RFC3,RFC2,KPNA2,NOLC1,PSIP1,WDR90,PSMC3IP,MMS22L,AURKB,CDKN2C,H2AZ1,GINS4,SPC24,MELK,KIF18B,MAD2L1,LMNB1,PLK1,PHF5A,HMGB3,POLA2,TP53,WEE1,HMMR,SMC1A,PRPS1,NAA38,PPM1D,CKS1B,PRKDC,CDKN3,CHEK1,SMC3,NUP205,CBX5,RAN,TUBB,TRIP13,TUBG1,XPO1,PNN,CDK1,NASP,ESPL1,NME1,SLBP,SPC25,CDC25B,E2F8,DCK,SHMT1,UNG,CTCF,CTPS1,SYNCRIP,UBR7,BIRC5,AK2,SMC4,DONSON,RRM2,PDS5B,HELLS,ZW10,DSCC1,RAD1
HALLMARK_P53_PATHWAY,h.all.v2023.2.Hs.symbols,SERPINB5,CCNK,PCNA,ZBTB16,PLK2,NDRG1,NHLH2,GADD45A,PROCR,RAD9A,CDKN2AIP,TCN2,SLC7A11,RAP2B,BMP2,TCHH,TRIAP1,GPX2,NUDT15,H2AJ,CDKN2B,F2R,CDK5R1,MKNK2,RRAD,HSPA4L,SAT1,CCNG1,GM2A,TAX1BP3,SFN,CCP110,MXD4,PVT1,MDM2,IRAG2,SERTAD3,CCND3,RXRA,CD82,AK1,EPHA2,NINJ1,KLF4,IER5,TGFA,DCXR,TSC22D1,RGS16,RPL36,CYFIP2,SDC1,PTPRE,SLC35D1,CDKN1A,LIF,ZMAT3,TNNI1,TPD52L1,RAB40C,ADA,STOM,FAS,EPHX1,RB1,ITGB4,POLH,CDKN2A,HBEGF,NOTCH1,BAIAP2,S100A10,CEBPA,SP1,CLCA2,IER3,TRIB3,KLK8,TRAFD1,ZFP36L1,SPHK1,MAPKAPK3,RNF19B,APP,CCND2,LDHB,PITPNC1,SESN1,BAX,HDAC3,UPP1,CDH13,ZNF365,EPS8L2,DDB2,CSRNP2,KRT17,RALGDS,PERP,SLC19A2,FDXR,HEXIM1,IP6K2,TM7SF3,STEAP3,PTPN14,XPC,INHBB,ALOX15B,JUN,OSGIN1,PRMT2,JAG2,RPS27L,RHBDF2,TOB1,BLCAP,CTSD,ATF3,CD81,PHLDA3,S100A4,PDGFA,WRAP73,FOXO3,RPS12,RAD51C,TM4SF1,DEF6,RCHY1,FBXW7,DRAM1,TRAF4,DNTTIP2,PLXNB2,HRAS,ISCU,HINT1,TXNIP,DDIT4,PRKAB1,APAF1,TSPYL2,EI24,VWA5A,CGRRF1,IRAK1,ABHD4,ABCC5,HMOX1,POM121,PMM1,TP53,BAK1,VDR,COQ8A,AEN,DDIT3,RPL18,H1-2,TPRKB,PPM1D,SOCS1,H2AC25,BTG1,FUCA1,KIF13B,NOL8,ANKRA2,WWP1,RETSAT,GLS2,RRP8,ABAT,TAP1,FAM162A,NUPR1,TP63,RACK1,BTG2,FOS,ELP1,IL1A,TGFB1,ST14,IFI30,TNFSF9,SLC3A2,FGF13,MXD1,CASP1,PLK3,VAMP8,DGKA,PPP1R15A,CTSF,SEC61A1,ACVR1B,PIDD1,ERCC5
