PathwayID,GeneCount,PathwaySize,BackgroundSize,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,GeneList,GeneSet,Library Source
Interferon Gamma Signaling R-HSA-877300,18,87,19938,18/1351,87/19938,0.20689655172413793,3.0533704280354272,5.174741552716987,1.757165209304767e-05,3.052643873419654e-05,IRF6/PTPN11/STAT1/TRIM25/B2M/PTPN2/HLA-C/IRF2/SOCS1/JAK2/CD44/HLA-G/JAK1/PTPN1/PTPN6/MT2A/TRIM14/TRIM3,Oncogene,Reactome_2022
MAP Kinase Activation R-HSA-450294,21,62,19938,21/1351,62/19938,0.3387096774193548,4.9986628781547715,8.50156874780895,3.034202400570764e-10,1.2219560576844078e-09,FOS/UBE2V1/MAP2K7/MAP3K7/JUN/CHUK/MAP2K6/MAP3K8/DUSP6/MAPK14/IKBKB/NFKB1/TRAF6/BTRC/MAPK1/MAPK3/RPS6KA3/MAPK9/MAP2K4/UBC/MAPK8,Oncogene,Reactome_2022
Signaling By PDGF R-HSA-186797,16,52,19938,16/1351,52/19938,0.3076923076923077,4.540909867334738,6.892801246697361,1.820649176284554e-07,4.4560640060445165e-07,PTPN11/STAT1/PTPN12/STAT3/GRB7/GRB2/PIK3CA/CRK/SOS1/BCAR1/HRAS/NRAS/THBS2/SRC/COL4A1/COL4A2,Oncogene,Reactome_2022
Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755,12,74,19938,12/1351,74/19938,0.16216216216216217,2.3931822273791186,3.237004936103077,0.003907379800733135,0.0048351096416893264,MAPK1/GRIN2A/MAPK3/HRAS/NRAS/ERBB4/KPNA2/MAPT/PRKCA/NRG1/SRC/RPS6KA3,Oncogene,Reactome_2022
PI-3K cascade:FGFR2 R-HSA-5654695,10,23,19938,10/1351,23/19938,0.43478260869565216,6.416503073407782,7.0072189209121065,9.986426537012527e-07,2.158042417510512e-06,PTPN11/PIGU/FGF10/FGFR2/GRB2/PIK3CA/FGF3/FGF7/FGF8/FGF4,Oncogene,Reactome_2022
Signal Transduction R-HSA-162582,434,2457,19938,434/1351,2457/19938,0.17663817663817663,2.606818627544016,22.931857220927604,7.444616000291575e-89,3.297964888129168e-86,NISCH/MAML2/KDM4C/HNRNPA1/RND3/CAV1/PTPN12/AKT3/SPHK1/H2AZ1/CBX2/EZH2/SOX17/PSMD14/BIRC3/RHEB/DNER/YBX1/PRMT1/YY1/RAB7A/TCF7L2/WWP1/OXTR/MTA3/GDF2/PTPN1/WIF1/GPSM2/GRB7/E2F1/GRB2/KIF2C/FOXO4/SNAI2/HINT2/STK11/TPM4/STAT1/PREX1/IRS1/NRAS/MYO6/CXCR4/CTNNB1/CYP26A1/RAP1A/PAK4/BCL2/GRM1/ADORA2B/TBL1XR1/WNT1/SPRY1/GATA3/BCL2L1/AGTR1/PSMD10/RSPO3/CENPU/SHC1/TNFRSF10B/CBX4/CCNE1/STK24/RRAS2/RNMT/CDC20/YES1/GALNT3/JAK1/SLC4A7/CDKN1A/CD274/RBM15/RHOA/RGS4/ARHGAP11A/DUSP6/DBN1/MAPK14/P4HB/CXCL12/MAPK1/IQGAP1/DLL1/RBPJ/NTRK2/PTHLH/VEGFA/ARHGEF2/RARA/SMAD4/EPHA2/TFF1/TJP2/TNFAIP3/CDCA8/SPRED2/MAP3K7/LATS1/TFF3/HDAC2/NRP2/SHARPIN/CSK/FGD1/CCL2/HDAC9/VAV3/VEGFD/SHMT2/PSMD5/PTPRZ1/CYBB/RTKN/BAX/F11R/RICTOR/XPO1/INTU/PIGU/TP53/INS/MYCN/WIPF1/JUN/CENPE/ARHGAP18/EIF4E/NUP98/TRIM27/NEDD4/GLI1/MMP2/DLGAP5/MAPK3/CCND1/CDK4/KIF2A/PTGDR/TNF/CASR/HRAS/AXL/RPS6KB2/FOXO6/MTA1/ACKR3/SPINT1/KDM1A/UBC/FOS/EPSTI1/ABI1/IGF2/AREG/WASF3/CENPK/NR5A2/SFRP2/IGF1/GFRA1/MMP9/AMOT/PSMD12/TRAF6/CHEK1/SQSTM1/DDX5/KHDRBS1/RELA/PTK2B/ITGB1/YAP1/ARHGEF25/NOG/NCOA3/MFNG/PTK6/WWP2/SLC1A5/HDAC8/IGF1R/KREMEN2/FGFR1/CSF2/NR4A1/ITGA2/ID4/FYN/NFKB1/GPNMB/SNAI1/LIMK1/RHOBTB3/PPP1R12A/STMN1/TAX1BP3/FOXO1/IL6/PRKCI/HDAC5/ETV4/SOCS1/KDM3A/C1QBP/CDKN1B/RCC2/OTULIN/ARHGEF5/ARTN/E2F4/SERPINE1/TXNL1/PRKCB/ELF3/NRG2/EGFR/KPNA2/LYN/FASN/RPS6KA3/NF1/NCSTN/ABL1/E2F5/CCR7/HDAC1/IQGAP2/CXCL2/SRF/FOXO3/PTPN13/WWTR1/CBL/NOTCH2/GRK2/AKAP13/CFLAR/PHLPP2/ESR1/HIF1A/NOTCH4/PLXNB1/FRK/WNT5A/RNF2/PTPN6/PTEN/CDK8/HNRNPC/PRC1/BMPR1A/KIF14/NOTCH3/MYH9/CYLD/MAPK8/BMP2/PTPN11/FGFR2/KDM4B/WWC1/NTRK3/MRTFA/GJA1/MAP3K11/ERBB3/LEP/RNF111/FGF7/KDM1B/B4GALT1/WWOX/SRC/IKBKB/RPS6KB1/VAV2/ARL13B/CTSD/CHD1/KDR/FGF10/RASAL2/NMU/CHUK/TERT/FN1/PTPN2/TFDP1/MDM2/GLI3/PLK1/VEGFC/LEF1/SGK1/RAC2/SOX2/PTBP1/CXXC5/GRM8/IQGAP3/PBX1/PGR/NRG1/FGFR3/CDK2/NUMB/PTK2/ESR2/MAPRE1/SOX7/CRK/VPS35/ID1/ZNF217/ERCC6L/SOST/EIF4EBP1/SOX4/RGS6/ADAM17/HDAC3/ERBB2/STAT3/PIK3CA/ARPC2/ANXA1/PPARG/WASL/ABL2/TAOK1/WAS/RET/PPP1R1B/CTTN/EEF2K/TCF12/SOX9/SCRIB/SYK/RUNX1/CXCL10/TIAM1/CBX8/KMT2D/ALK/FGF8/THBS2/USP15/IKZF1/PTPN3/MYB/GAB2/SOS1/RAB9A/SALL4/EREG/AKT2/EGR1/FLT3/DUSP8/CCL11/ERBB4/PTN/NTRK1/MTOR/WNT7B/RHOB/KDM4A/WNT10B/CCND3/ROCK1/ROCK2/JAK2/JUND/SENP1/IRS4/BIRC2/EGF/TRA2B/TACR1/PEAK1/FOSL1/MCF2/CENPL/SPARC/DKK2/DEPDC1B/PELP1/MEN1/CDK1/HSPB1/VHL/COL4A2/LAMTOR5/BTRC/NOTCH1/WNT3/AKR1C3/FGF4/AURKB/BIRC5/S100A9/PRKCA/AKT1/FOXA1/FGFR4/COL4A1/AMOTL1/SMARCA4/CARM1/TMPO/BCAR1/STK38/SRMS/BRAF/IGF2BP1/LATS2/FGF19/MST1R/THEM4/RACGAP1/AMOTL2/FGF3/E2F3/GPER1/MYC/RARB/KIT/HSP90AA1/TACC3/APP,Oncogene,Reactome_2022
Apoptosis R-HSA-109581,39,178,19938,39/1351,178/19938,0.21910112359550563,3.2334849757566184,8.069609069026786,4.736337680939413e-11,2.2321250985703828e-10,TFDP1/STK24/LMNA/C1QBP/TP73/AKT2/CFLAR/STAT3/AKT3/CTNNB1/TP63/PSMD5/UBC/MAPT/BCL2/PTK2/PMAIP1/TLR4/PSMD12/BAX/ROCK1/MAPK1/MAPK3/HMGB1/AKT1/BCL2L1/PSMD14/FASN/CDKN2A/E2F1/PSMD10/BIRC2/BMF/DCC/TNFRSF10B/SATB1/MAPK8/TP53/TJP2,Oncogene,Reactome_2022
SCF(Skp2)-mediated Degradation Of P27/P21 R-HSA-187577,14,59,19938,14/1351,59/19938,0.23728813559322035,3.5018881180293318,5.188592374022443,2.9804551723478835e-05,4.890154227222638e-05,CCNE1/PSMD10/CDK2/PSMD5/CKS1B/SKP2/CCND1/CDK4/PTK6/UBC/CDKN1B/CDKN1A/PSMD14/PSMD12,Oncogene,Reactome_2022
Membrane Trafficking R-HSA-199991,59,596,19938,59/1351,596/19938,0.09899328859060402,1.4609387031232146,3.0801264447709444,0.0021999091839679575,0.002808529592212695,KIF15/USP6NL/COPB2/KIF11/INS/AREG/RAB7A/HIP1/CBL/RAB9A/GRK2/CENPE/DENND4C/EREG/AKT2/MYO6/GJA1/AKT3/COPS5/TMED3/KIF26A/ARPC2/VAMP8/TPD52/KIF26B/KIF23/AP1S1/RAB5A/WASL/SYT1/RAB1A/KIF4A/SRC/COPS6/CNIH3/RHOBTB3/EGFR/RAB27B/RACGAP1/WNT5A/CTTN/KIF3C/RABGEF1/PAFAH1B3/AKT1/KIF2A/AGTR1/GRB2/KIF2C/AKR1B10/EGF/MYH9/APP/TBC1D24/GJA3/UBC/HSPA8/TACR1/ARF4,Oncogene,Reactome_2022
Transcriptional Regulation By RUNX3 R-HSA-8878159,27,94,19938,27/1351,94/19938,0.2872340425531915,4.238987668708758,8.48616636791738,6.962106027068645e-11,3.212721843741052e-10,FOXO3/MDM2/MAML2/WWTR1/NRAS/LEF1/TCF7L2/CDKN1A/CTNNB1/PSMD5/CCN2/SRC/PSMD12/RBPJ/TEAD4/CCND1/NOTCH1/MYC/PSMD14/YAP1/RUNX1/CDKN2A/ZFHX3/PSMD10/SMAD4/UBC/TP53,Oncogene,Reactome_2022
FRS-mediated FGFR2 Signaling R-HSA-5654700,11,24,19938,11/1351,24/19938,0.4583333333333333,6.764063656550703,7.61742290223327,1.4561276184875947e-07,3.6239580617415976e-07,PTPN11/FGF10/FGFR2/GRB2/SOS1/FGF3/NRAS/FGF7/HRAS/FGF8/FGF4,Oncogene,Reactome_2022
SHC1 Events In ERBB2 Signaling R-HSA-1250196,15,21,19938,15/1351,21/19938,0.7142857142857143,10.541397906312785,11.794040718533422,9.964001709996973e-14,7.356754595881097e-13,PTPN12/ERBB3/NRG2/ERBB2/EGFR/SOS1/GRB2/HRAS/NRAS/ERBB4/EGF/SHC1/PRKCA/NRG1/EREG,Oncogene,Reactome_2022
Signaling By KIT In Disease R-HSA-9669938,13,19,19938,13/1351,19/19938,0.6842105263157895,10.097549573415405,10.695975388079743,1.1092958284243659e-11,6.142725649899926e-11,STAT1/STAT3/GRB2/PIK3CA/SOS1/KIT/JAK2/YES1/NRAS/HRAS/LYN/SRC/FYN,Oncogene,Reactome_2022
Regulated Necrosis R-HSA-5218859,13,57,19938,13/1351,57/19938,0.22807017543859648,3.3658498578051343,4.822346633154823,8.849931413366567e-05,0.00013708110545878984,BAX/TP63/HSP90AA1/OGT/IRF2/HMGB1/BIRC2/UBC/TNFRSF10B/CFLAR/FASN/TP53/BIRC3,Oncogene,Reactome_2022
Death Receptor Signaling R-HSA-73887,36,139,19938,36/1351,139/19938,0.2589928057553957,3.8222047084760025,9.001755523623547,1.479510948457352e-12,9.498889132849376e-12,HDAC3/TNFAIP3/PREX1/MCF2/SOS1/MAP3K7/AKAP13/CHUK/HDAC2/OTULIN/CFLAR/ARHGEF5/SHARPIN/FGD1/VAV3/RHOA/UBC/IKBKB/NFKB1/VAV2/TRAF6/SQSTM1/RELA/FASN/BIRC3/ARHGEF2/NCSTN/TIAM1/TNF/BIRC2/CYLD/TNFRSF10B/HDAC1/MAPK8/ADAM17/PRKCI,Oncogene,Reactome_2022
Impaired BRCA2 Binding To RAD51 R-HSA-9709570,10,34,19938,10/1351,34/19938,0.29411764705882354,4.340575608481735,5.255856657497997,5.75618129772014e-05,9.239088097427617e-05,ARTN/BRCA1/BRIP1/DNA2/RAD51/ATM/BARD1/RFC3/RAD9A/RBBP8,Oncogene,Reactome_2022
FLT3 Signaling R-HSA-9607240,20,37,19938,20/1351,37/19938,0.5405405405405406,7.977274091263729,11.452548128625576,1.8999659943950312e-14,1.5303362463945432e-13,PTPN11/GAB2/FOXO3/SOS1/CBL/NRAS/AKT2/CDKN1B/FLT3/CSK/AKT3/PIK3CA/UBC/FYN/ABL2/HCK/SYK/GRB2/HRAS/AKT1,Oncogene,Reactome_2022
Oncogenic MAPK Signaling R-HSA-6802957,20,77,19938,20/1351,77/19938,0.2597402597402597,3.8332356022955576,6.715532061106449,1.2834501752836754e-07,3.267634641670507e-07,TRIM24/LMNA/SPRED2/NRAS/BRAF/CSK/MAP3K11/DUSP8/DUSP6/RAP1A/SRC/MAPK1/IQGAP1/MAPK3/JAK2/AGK/NF1/SND1/HRAS/FN1,Oncogene,Reactome_2022
Paradoxical Activation Of RAF Signaling By Kinase Inactive BRAF R-HSA-6802955,12,40,19938,12/1351,40/19938,0.3,4.427387120651369,5.849804770112928,8.402476269730477e-06,1.577244486224831e-05,MAP3K11/MAPK1/IQGAP1/MAPK3/SRC/JAK2/NRAS/HRAS/RAP1A/BRAF/CSK/FN1,Oncogene,Reactome_2022
RHOQ GTPase Cycle R-HSA-9013406,14,59,19938,14/1351,59/19938,0.23728813559322035,3.5018881180293318,5.188592374022443,2.9804551723478835e-05,4.890154227222638e-05,CAV1/GJA1/PREX1/IQGAP1/ARL13B/IQGAP3/RAB7A/PAK4/SLC4A7/DEPDC1B/WASL/SCRIB/WWP2/SLC1A5,Oncogene,Reactome_2022
Heme Signaling R-HSA-9707616,10,44,19938,10/1351,44/19938,0.22727272727272727,3.354081152008613,4.21443772734133,0.0005855783486669012,0.0007981883337213454,HDAC3/CARM1/BRIP1/XPO1/NFE2L2/BMAL1/SIRT1/HMOX1/TBL1XR1/TLR4,Oncogene,Reactome_2022
Downstream Signaling Of Activated FGFR4 R-HSA-5654716,12,26,19938,12/1351,26/19938,0.46153846153846156,6.8113648010021075,7.99392925006504,3.5343610832009624e-08,9.724981117130598e-08,PTPN11/PIGU/GRB2/PIK3CA/SOS1/HRAS/NRAS/SHC1/FGF8/FGF19/FGFR4/FGF4,Oncogene,Reactome_2022
Integrin Cell Surface Interactions R-HSA-216083,10,66,19938,10/1351,66/19938,0.15151515151515152,2.2360541013390756,2.7116996681994,0.0129242161047991,0.015106669483973618,ITGA2/ITGB2/CD44/F11R/ITGB1/CD47/COL4A1/FN1/KDR/COL4A2,Oncogene,Reactome_2022
Signaling By MET R-HSA-6806834,21,63,19938,21/1351,63/19938,0.3333333333333333,4.919319022945966,8.400018662786895,4.262511722057451e-10,1.6419936459751744e-09,PTPN2/PTPN11/SOS1/RNMT/CBL/NRAS/STAT3/ITGA2/PIK3CA/RAP1A/SRC/PTK2/CRK/PTPN1/ITGB1/GRB2/HRAS/SHC1/SPINT1/UBC/PIGU,Oncogene,Reactome_2022
Cellular Response To Chemical Stress R-HSA-9711123,29,182,19938,29/1351,182/19938,0.15934065934065933,2.351542609869775,4.938202066874187,1.433251500189241e-05,2.5810179454627392e-05,HDAC3/CARM1/NFE2L2/GSTP1/AKT2/SIN3B/STAT3/AKT3/PSMD5/ATP7A/P4HB/CYBB/TBL1XR1/PSMD12/SQSTM1/BTRC/AKT1/NOTCH1/HM13/PSMD14/MYC/CDKN2A/PSMD10/BRIP1/SKP2/PTK6/UBC/HMOX1/PHGDH,Oncogene,Reactome_2022
FLT3 Signaling In Disease R-HSA-9682385,13,27,19938,13/1351,27/19938,0.48148148148148145,7.105683033144173,8.558990221676492,4.907270176310343e-09,1.586803421974804e-08,PTPN11/GAB2/ETV6/PIK3CA/GRB2/SOS1/CBL/FLT3/NRAS/HRAS/UBC/BCL2L1/CDKN1A,Oncogene,Reactome_2022
Downstream Signaling Of Activated FGFR3 R-HSA-5654708,11,24,19938,11/1351,24/19938,0.4583333333333333,6.764063656550703,7.61742290223327,1.4561276184875947e-07,3.6239580617415976e-07,PTPN11/PIGU/GRB2/PIK3CA/SOS1/HRAS/NRAS/SHC1/FGF8/FGFR3/FGF4,Oncogene,Reactome_2022
Interleukin-2 Family Signaling R-HSA-451927,14,44,19938,14/1351,44/19938,0.3181818181818182,4.6957136128120585,6.61632028530301,6.723011135316507e-07,1.4966301170578958e-06,STAT1/CSF2/STAT3/GAB2/GRB2/PIK3CA/SOS1/JAK2/PTK2B/JAK1/SHC1/PTPN6/HAVCR2/SYK,Oncogene,Reactome_2022
p53-Dependent G1 DNA Damage Response R-HSA-69563,15,65,19938,15/1351,65/19938,0.23076923076923078,3.4056824005010538,5.2374052898622,2.232290195654576e-05,3.832963397965028e-05,CCNE1/CDKN2A/PSMD10/MDM2/CDK2/MDM4/CHEK2/PSMD5/UBC/ATM/CDKN1B/CDKN1A/PSMD14/TP53/PSMD12,Oncogene,Reactome_2022
Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582,18,79,19938,18/1351,79/19938,0.22784810126582278,3.3625724966972426,5.672479448992568,4.21855823863879e-06,8.380364572721902e-06,STAT3/CDKN2A/FOS/CDKN1A/CDK2/MAPK3/RELA/MAPK1/IL6/H2AZ1/JUN/CDK4/UBE2C/NFKB1/CDKN1B/UBC/RPS6KA3/EHMT2,Oncogene,Reactome_2022
TP53 Regulates Metabolic Genes R-HSA-5628897,11,81,19938,11/1351,81/19938,0.13580246913580246,2.0041670093483566,2.4414316485490564,0.020399301388830306,0.02365678145353881,AKT3/LAMTOR5/TP63/GLS2/AKT1/PTEN/AKT2/MTOR/DDIT4/TP53/RHEB,Oncogene,Reactome_2022
Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,20,129,19938,20/1351,129/19938,0.15503875968992248,2.2880553595097517,3.9568632175316005,0.0004227252002382048,0.0005907484659480275,IGF2/SOS1/VEGFC/SPARC/TIMP3/IGF1/VEGFD/WDR1/SERPINE1/ACTN4/PRKCB/TIMP1/RAB27B/FAM3C/VEGFA/HRG/EGF/PRKCA/APP/FN1,Oncogene,Reactome_2022
Diseases Of Programmed Cell Death R-HSA-9645723,12,69,19938,12/1351,69/19938,0.17391304347826086,2.566601229363113,3.51437364148008,0.002142535832436921,0.0027431889415305086,CDC25A/CDKN2A/DNMT1/FOXO3/EZH2/LMNA/CDC25B/H2AZ1/JUN/C1QBP/APP/TP53,Oncogene,Reactome_2022
Presynaptic Phase Of Homologous DNA Pairing And Strand Exchange R-HSA-5693616,12,39,19938,12/1351,39/19938,0.3076923076923077,4.540909867334738,5.9673907815815,6.266298546729964e-06,1.212214085677456e-05,ARTN/CHEK1/BRCA1/BRIP1/DNA2/RAD51/ATM/BARD1/RFC3/RAD9A/RAD51C/RBBP8,Oncogene,Reactome_2022
SHC-mediated cascade:FGFR2 R-HSA-5654699,11,22,19938,11/1351,22/19938,0.5,7.378978534418949,8.070758493214392,4.67048559210511e-08,1.269340562762309e-07,FGF10/FGFR2/GRB2/SOS1/FGF3/NRAS/FGF7/HRAS/SHC1/FGF8/FGF4,Oncogene,Reactome_2022
Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139,15,36,19938,15/1351,36/19938,0.4166666666666667,6.1491487786824575,8.33664406047638,3.871990799006984e-09,1.2896931759098451e-08,TFDP1/CCND3/CCNE1/E2F1/CDKN1C/CDK2/SKP2/CCND1/CDK4/E2F3/UBE2C/RB1/CDKN1B/CDKN1A/CCND2,Oncogene,Reactome_2022
Hemostasis R-HSA-109582,95,575,19938,95/1351,575/19938,0.16521739130434782,2.438271167894957,9.434986945649094,3.3859289328790704e-16,3.571348850631972e-15,S100A10/P2RX7/C1QBP/HDAC2/CSK/CAV1/VAV3/PIK3CA/SERPINE2/SLC7A5/VEGFD/CD177/WDR1/SERPINE1/PRKCB/RAB27B/KIF3C/F11R/EPCAM/LYN/SYK/HRG/ABL1/HDAC1/TP53/KIF15/KIF11/MYB/SOS1/IRF2/CENPE/PLAU/CD47/KIF26A/WEE1/KIF4A/RHOB/TIMP1/MAPK3/JAK2/PTPN1/OLR1/PTPN6/KIF2A/GRB7/ANXA2/GRB2/KIF2C/HRAS/EGF/KDM1A/IFNA1/PTPN11/IGF2/NRAS/SPARC/MERTK/ITGB2/IGF1/CD44/RAP1A/RAB5A/SRC/VAV2/GATA3/ITGB1/S100A9/SHC1/PRKCA/TNFRSF10B/AKT1/FN1/VEGFC/BCAR1/YES1/RAC2/TIMP3/ITGA2/RHOA/KIF26B/KIF23/MAPK14/ACTN4/CDK2/PTK2/FYN/CEACAM6/MAPK1/CRK/RACGAP1/FAM3C/PICK1/VEGFA/APP/RAD51C,Oncogene,Reactome_2022
Leishmania Infection R-HSA-9658195,37,245,19938,37/1351,245/19938,0.1510204081632653,2.228752700191846,5.217284462078482,3.6942214356674726e-06,7.371802234237344e-06,ABI1/P2RX7/YES1/MAPK8/WIPF1/JUN/WASF3/VAV3/ARPC2/WASL/MAPK14/SRC/PTK2/ADORA2B/ENTPD5/NFKB1/FYN/VAV2/NT5E/WAS/MAPK1/MAPK3/RELA/CRK/HCK/WNT5A/PTHLH/LYN/PTGDR/SYK/GRB2/ABL1/IL6/MYH9/PRKCA/HMOX1/ADAM17,Oncogene,Reactome_2022
Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314,19,182,19938,19/1351,182/19938,0.1043956043956044,1.5406658478457147,1.9754591441088538,0.04008721792934416,0.04484504429974612,MDM2/NRAS/NPTN/MYO6/ERBB4/MAPT/NRG1/SRC/PRKCB/MAPK1/MAPK3/KPNA2/CHRNA4/GRIK3/RPS6KA3/PICK1/GRIN2A/HRAS/PRKCA,Oncogene,Reactome_2022
RUNX2 Regulates Bone Development R-HSA-8941326,15,30,19938,15/1351,30/19938,0.5,7.378978534418949,9.426508891929975,1.5899550793352935e-10,6.708096191862239e-10,HDAC3/MAPK1/MAPK3/GLI3/WWTR1/AREG/YAP1/ABL1/YES1/SP7/SMAD4/RUNX2/RB1/SRC/MAF,Oncogene,Reactome_2022
